timestamp,latitude,longitude,altitude
"2025-05-10 15:56:26 +0000",37.425480274664984,-122.1611024603052,24.231905364990233
"2025-05-10 15:57:50 +0000",37.42540890952079,-122.16089382606616,23.23491435404867
"2025-05-10 21:34:46 +0000",37.43112691114863,-122.17402433395839,34.33741550877477
"2025-05-10 22:56:46 +0000",37.4311247875518,-122.17398701491456,34.17695191893044
"2025-05-10 22:56:55 +0000",37.4311247875518,-122.17398701491456,34.17695191893044
"2025-05-10 23:06:34 +0000",37.43103119371026,-122.17439343365201,30.4013515105471
"2025-05-10 23:06:36 +0000",37.431130166019486,-122.1746298701298,29.971646539866924
"2025-05-10 23:06:52 +0000",37.43128065393384,-122.17448423626789,30.589479483664036
"2025-05-10 23:07:16 +0000",37.43144062805335,-122.1743713788185,30.026634299196303
"2025-05-10 23:07:42 +0000",37.43160041918831,-122.17426094228254,29.787385267205536
"2025-05-10 23:08:02 +0000",37.43152192115523,-122.17446927945453,29.196478560566902
"2025-05-10 23:08:21 +0000",37.43135533967931,-122.17456520264217,29.934840981848538
"2025-05-10 23:08:37 +0000",37.43115685561404,-122.17449433754916,29.499556984752417
"2025-05-10 23:08:46 +0000",37.431039938321405,-122.17430763969803,29.525082420557737
"2025-05-10 23:08:53 +0000",37.43103501618818,-122.17407267746337,29.842196992598474
"2025-05-10 23:09:12 +0000",37.43101223556895,-122.17383974990408,27.118576620705426
"2025-05-10 23:09:31 +0000",37.43095022107803,-122.17362304782975,25.45797837432474
"2025-05-10 23:09:52 +0000",37.430910027647265,-122.17339248219561,29.619248554110527
"2025-05-10 23:10:06 +0000",37.43087349000133,-122.1731705088571,27.27825048752129
"2025-05-10 23:10:19 +0000",37.430800040550785,-122.17296163455693,27.328675167635083
"2025-05-10 23:11:41 +0000",37.4309865348932,-122.17291968132092,26.83756234217435
"2025-05-10 23:11:48 +0000",37.43117624270225,-122.17291702380886,26.654083461500704
"2025-05-10 23:11:55 +0000",37.431152318339784,-122.1726602053083,25.527950844727457
"2025-05-10 23:12:01 +0000",37.431327523162224,-122.17249133311614,24.893199951387942
"2025-05-10 23:12:06 +0000",37.43153150409792,-122.1724222388553,24.89821275230497
"2025-05-10 23:12:11 +0000",37.43172573812962,-122.17235307584379,25.616991623304784
"2025-05-10 23:12:16 +0000",37.43190588382379,-122.17228933967627,26.1086468109861
"2025-05-10 23:12:22 +0000",37.43210986402794,-122.17224742221241,26.229670426808298
"2025-05-10 23:12:28 +0000",37.43222614829067,-122.17242279232491,26.09701141435653
"2025-05-10 23:12:34 +0000",37.43228252887727,-122.17266165032015,26.27824400179088
"2025-05-10 23:12:40 +0000",37.43233827410554,-122.17289453151679,27.153397179208696
"2025-05-10 23:12:47 +0000",37.43241210849916,-122.17312108952957,26.938220292329788
"2025-05-10 23:12:56 +0000",37.432508584540656,-122.17335285952218,26.037689551711082
"2025-05-10 23:13:03 +0000",37.43250835997581,-122.17359745468833,26.901985223405063
"2025-05-10 23:13:12 +0000",37.43252881451774,-122.17382538392079,28.508648356422782
"2025-05-10 23:13:20 +0000",37.43255738851782,-122.17407291083491,27.82865864597261
"2025-05-10 23:13:27 +0000",37.43263515224307,-122.17428864560615,28.264342745766044
"2025-05-10 23:13:38 +0000",37.432758609663686,-122.17445966088704,27.903984939679503
"2025-05-10 23:13:42 +0000",37.432768753000666,-122.1746863329847,27.27545428276062
"2025-05-10 23:13:48 +0000",37.432846858494415,-122.1749160072446,26.253325254656374
"2025-05-10 23:13:56 +0000",37.432891936722505,-122.17517658003993,26.02522437646985
"2025-05-10 23:14:04 +0000",37.432971370635904,-122.1754020925027,25.757480151951313
"2025-05-10 23:14:12 +0000",37.43302619107705,-122.17563141021894,25.671824691817164
"2025-05-10 23:14:56 +0000",37.43289175226131,-122.17579818066335,26.34043573681265
"2025-05-10 23:16:12 +0000",37.432823426227415,-122.17558378019955,24.346343888901174
"2025-05-11 00:12:03 +0000",37.43300145737214,-122.17564102456859,26.68388642091304
"2025-05-11 00:12:50 +0000",37.432998012737634,-122.1754148420219,26.406698535196483
"2025-05-11 00:12:59 +0000",37.43304356143775,-122.17519586164414,25.775500416755676
"2025-05-11 00:13:06 +0000",37.43284601012857,-122.17500547229619,25.84556056559086
"2025-05-11 00:13:13 +0000",37.432792895070435,-122.17478819929364,26.153529927134514
"2025-05-11 00:13:25 +0000",37.43277365988293,-122.17456016605024,26.66637889482081
"2025-05-11 00:13:29 +0000",37.43268679178124,-122.17435825467199,27.151879370212555
"2025-05-11 00:13:36 +0000",37.432563154019356,-122.17418701056313,28.002665281295776
"2025-05-11 00:13:42 +0000",37.43250543600926,-122.17395103960756,27.91146925278008
"2025-05-11 00:13:49 +0000",37.43245042909757,-122.17369058293205,27.623261029832065
"2025-05-11 00:13:55 +0000",37.43239839839871,-122.17346871940076,27.150508392602205
"2025-05-11 00:14:01 +0000",37.43234184278371,-122.173215200372,26.876745427027345
"2025-05-11 00:14:08 +0000",37.43229352815674,-122.17296456239185,26.546136968769133
"2025-05-11 00:14:14 +0000",37.43223855202546,-122.17270726074304,26.35043968167156
"2025-05-11 00:14:19 +0000",37.43218371759869,-122.17245113832821,26.289474072866142
"2025-05-11 00:14:25 +0000",37.43213750594571,-122.17219948686227,25.861349307000637
"2025-05-11 00:14:31 +0000",37.432080497145705,-122.17194196089322,25.876255178824067
"2025-05-11 00:14:37 +0000",37.43202555269264,-122.17168649254272,25.903544388711452
"2025-05-11 00:14:42 +0000",37.43198118751914,-122.17146345723131,25.334207880310714
